playerName,status,runs,balls,fours,sixes,strikeRate,battingTeam,CRR,overs,totalScore,matchId
Aaron Johnson,c Nitish Kumar b Harmeet Singh,23,16,5,0,143.75,CAN,9.70,20.0,194,239603
Navneet Dhaliwal,c Jessy Singh b Corey Anderson,61,44,6,3,138.63,CAN,9.70,20.0,194,239603
Pargat Singh,run out (Jessy Singh / Monank Patel),5,7,0,0,71.42,CAN,9.70,20.0,194,239603
Nicholas Kirton,c Corey Anderson b Ali Khan,51,31,3,2,164.51,CAN,9.70,20.0,194,239603
Shreyas Movva (wk),not out,32,16,2,2,200,CAN,9.70,20.0,194,239603
Dilpreet Bajwa,run out (Steven Taylor / Monank Patel),11,5,1,1,220,CAN,9.70,20.0,194,239603
Dilon Heyliger,not out,1,1,0,0,100,CAN,9.70,20.0,194,239603
Saad Bin Zafar (c),,,,,,,CAN,9.70,20.0,194,239603
Nikhil Dutta,,,,,,,CAN,9.70,20.0,194,239603
Kaleem Sana,,,,,,,CAN,9.70,20.0,194,239603
Jeremy Gordon,,,,,,,CAN,9.70,20.0,194,239603
Steven Taylor,lbw b Kaleem Sana,0,2,0,0,0,USA,11.15,17.4,197,239603
Monank Patel (c) (wk),c Shreyas Movva b Dilon Heyliger,16,16,2,0,100,USA,11.15,17.4,197,239603
Andries Gous,c Aaron Johnson b Nikhil Dutta,65,46,7,3,141.30,USA,11.15,17.4,197,239603
Aaron Jones,not out,94,40,4,10,235,USA,11.15,17.4,197,239603
Corey Anderson,not out,3,5,0,0,60,USA,11.15,17.4,197,239603
Nitish Kumar,,,,,,,USA,11.15,17.4,197,239603
Harmeet Singh,,,,,,,USA,11.15,17.4,197,239603
Shadley Van Schalkwyk,,,,,,,USA,11.15,17.4,197,239603
Jessy Singh,,,,,,,USA,11.15,17.4,197,239603
Saurabh Netravalkar,,,,,,,USA,11.15,17.4,197,239603
Ali Khan,,,,,,,USA,11.15,17.4,197,239603
Tony Ura,c Nicholas Pooran b Romario Shepherd,2,5,0,0,40,PNG,6.80,20.0,136,239604
Assad Vala (c),c Roston Chase b Alzarri Joseph,21,22,2,1,95.45,PNG,6.80,20.0,136,239604
Lega Siaka,b Akeal Hosein,1,2,0,0,50,PNG,6.80,20.0,136,239604
Sese Bau,b Alzarri Joseph,50,43,6,1,116.27,PNG,6.80,20.0,136,239604
Hiri Hiri,c Rovman Powell b Gudakesh Motie,2,6,0,0,33.33,PNG,6.80,20.0,136,239604
Charles Amini,c Nicholas Pooran b Andre Russell,12,14,0,0,85.71,PNG,6.80,20.0,136,239604
Kiplin Doriga (wk),not out,27,18,3,0,150,PNG,6.80,20.0,136,239604
Chad Soper,b Andre Russell,10,9,1,0,111.11,PNG,6.80,20.0,136,239604
Alei Nao,run out (Alzarri Joseph),0,0,0,0,,PNG,6.80,20.0,136,239604
Kabua Morea,not out,2,2,0,0,100,PNG,6.80,20.0,136,239604
John Kariko,,,,,,,PNG,6.80,20.0,136,239604
