playerName,overs,runs,maidens,wickets,economy,bowlingTeam,nb,wd,b,lb,p,matchId
Ali Khan,4,41,0,1,10.25,USA,0,2,0,8,0,239603
Saurabh Netravalkar,2,16,0,0,8.00,USA,0,2,0,8,0,239603
Harmeet Singh,4,27,0,1,6.75,USA,0,2,0,8,0,239603
Jessy Singh,3,24,0,0,8.00,USA,0,2,0,8,0,239603
Shadley Van Schalkwyk,3,34,0,0,11.33,USA,0,2,0,8,0,239603
Steven Taylor,1,15,0,0,15.00,USA,0,2,0,8,0,239603
Corey Anderson,3,29,0,1,9.66,USA,0,2,0,8,0,239603
Kaleem Sana,4,34,0,1,8.50,CANADA,3,14,0,2,0,239603
Jeremy Gordon,3,44,0,0,14.66,CANADA,3,14,0,2,0,239603
Dilon Heyliger,3,19,0,1,6.33,CANADA,3,14,0,2,0,239603
Saad Bin Zafar,4,42,0,0,10.50,CANADA,3,14,0,2,0,239603
Nikhil Dutta,2.4,41,0,1,15.37,CANADA,3,14,0,2,0,239603
Pargat Singh,1,15,0,0,15.00,CANADA,3,14,0,2,0,239603
Akeal Hosein,3,9,0,1,3.00,WEST INDIES,1,7,0,1,0,239604
Romario Shepherd,3,23,0,1,7.66,WEST INDIES,1,7,0,1,0,239604
Andre Russell,3,19,0,2,6.33,WEST INDIES,1,7,0,1,0,239604
Roston Chase,4,26,0,0,6.50,WEST INDIES,1,7,0,1,0,239604
Alzarri Joseph,4,34,0,2,8.50,WEST INDIES,1,7,0,1,0,239604
Gudakesh Motie,3,24,0,1,8.00,WEST INDIES,1,7,0,1,0,239604
Kabua Morea,3,30,0,0,10.00,PAPUA NEW GUINEA,0,0,0,2,0,239604
Alei Nao,2,9,1,1,4.50,PAPUA NEW GUINEA,0,0,0,2,0,239604
Chad Soper,3,19,0,1,6.33,PAPUA NEW GUINEA,0,0,0,2,0,239604
Sese Bau,1,18,0,0,18.00,PAPUA NEW GUINEA,0,0,0,2,0,239604
John Kariko,4,17,0,1,4.25,PAPUA NEW GUINEA,0,0,0,2,0,239604
Assad Vala,4,28,1,2,7.00,PAPUA NEW GUINEA,0,0,0,2,0,239604
Charles Amini,2,14,0,0,7.00,PAPUA NEW GUINEA,0,0,0,2,0,239604
Ruben Trumpelmann,4,21,0,4,5.25,NAMIBIA,1,2,0,2,0,239605
David Wiese,3.4,28,0,3,7.63,NAMIBIA,1,2,0,2,0,239605
Tangeni Lungameni,4,18,0,0,4.50,NAMIBIA,1,2,0,2,0,239605
Bernard Scholtz,4,20,0,1,5.00,NAMIBIA,1,2,0,2,0,239605
Gerhard Erasmus,4,20,0,2,5.00,NAMIBIA,1,2,0,2,0,239605
Bilal Khan,4,25,0,1,6.25,OMAN,0,3,6,0,0,239605
Shakeel Ahmed,3,20,0,0,6.66,OMAN,0,3,6,0,0,239605
Kaleemullah,2,10,0,0,5.00,OMAN,0,3,6,0,0,239605
Aqib Ilyas,4,17,1,1,4.25,OMAN,0,3,6,0,0,239605
Mehran Khan,3,7,1,3,2.33,OMAN,0,3,6,0,0,239605
Zeeshan Maqsood,2,12,0,0,6.00,OMAN,0,3,6,0,0,239605
Ayaan Khan,2,12,0,1,6.00,OMAN,0,3,6,0,0,239605
Bilal Khan,1,21,0,0,21.00,OMAN,0,0,0,0,0,239605
David Wiese,1,10,0,1,10.00,NAMIBIA,0,0,0,0,0,239605
Marco Jansen,3.1,15,0,0,4.73,SOUTH AFRICA,0,3,0,3,0,239606
Kagiso Rabada,4,21,1,2,5.25,SOUTH AFRICA,0,3,0,3,0,239606
Ottneil Baartman,4,9,1,1,2.25,SOUTH AFRICA,0,3,0,3,0,239606
Keshav Maharaj,4,22,0,2,5.50,SOUTH AFRICA,0,3,0,3,0,239606
Anrich Nortje,4,7,0,4,1.75,SOUTH AFRICA,0,3,0,3,0,239606
Angelo Mathews,3,16,0,0,5.33,SRI LANKA,1,2,0,3,0,239606
Nuwan Thushara,3,18,0,1,6.00,SRI LANKA,1,2,0,3,0,239606
Dasun Shanaka,3,6,1,1,2.00,SRI LANKA,1,2,0,3,0,239606
Matheesha Pathirana,3,12,0,0,4.00,SRI LANKA,1,2,0,3,0,239606
Wanindu Hasaranga,3.2,22,0,2,6.60,SRI LANKA,1,2,0,3,0,239606
Maheesh Theekshana,1,3,0,0,3.00,SRI LANKA,1,2,0,3,0,239606
Alpesh Ramjani,4,33,0,1,8.25,UGANDA,1,6,1,2,0,239607
Cosmas Kyewuta,4,25,0,2,6.25,UGANDA,1,6,1,2,0,239607
Dinesh Nakrani,3,37,0,0,12.33,UGANDA,1,6,1,2,0,239607
Bilal Hassan,2,34,0,0,17.00,UGANDA,1,6,1,2,0,239607
Henry Ssenyondo,2,19,0,0,9.50,UGANDA,1,6,1,2,0,239607
Riazat Ali Shah,1,11,0,0,11.00,UGANDA,1,6,1,2,0,239607
Brian Masaba,4,21,0,2,5.25,UGANDA,1,6,1,2,0,239607
Fazalhaq Farooqi,4,9,0,5,2.25,AFGHANISTAN,0,7,0,2,0,239607
Mujeeb Ur Rahman,3,16,0,1,5.33,AFGHANISTAN,0,7,0,2,0,239607
Naveen-Ul-Haq,2,4,0,2,2.00,AFGHANISTAN,0,7,0,2,0,239607
Azmatullah Omarzai,2,7,0,0,3.50,AFGHANISTAN,0,7,0,2,0,239607
Rashid Khan,4,12,0,2,3.00,AFGHANISTAN,0,7,0,2,0,239607
Mohammad Nabi,1,8,0,0,8.00,AFGHANISTAN,0,7,0,2,0,239607
Vivian Kingma,4,23,0,0,5.75,NETHERLANDS,0,4,0,4,0,239609
Tim Pringle,4,20,0,3,5.00,NETHERLANDS,0,4,0,4,0,239609
Logan Van Beek,3.2,18,0,3,5.40,NETHERLANDS,0,4,0,4,0,239609
Paul Van Meekeren,4,19,0,2,4.75,NETHERLANDS,0,4,0,4,0,239609
Bas De Leede,4,22,1,2,5.50,NETHERLANDS,0,4,0,4,0,239609
Karan KC,3,17,0,0,5.66,NEPAL,1,0,0,1,0,239609
Sompal Kami,4,18,0,1,4.50,NEPAL,1,0,0,1,0,239609
Gulshan Jha,2,17,0,0,8.50,NEPAL,1,0,0,1,0,239609
Dipendra Singh Airee,2,6,0,1,3.00,NEPAL,1,0,0,1,0,239609
Abinash Bohara,3.4,29,0,1,7.90,NEPAL,1,0,0,1,0,239609
Sagar Dhakal,4,21,0,0,5.25,NEPAL,1,0,0,1,0,239609
Arshdeep Singh,4,35,0,2,8.75,INDIA,1,9,0,5,0,239610
Mohammed Siraj,3,13,0,1,4.33,INDIA,1,9,0,5,0,239610
Jasprit Bumrah,3,6,1,2,2.00,INDIA,1,9,0,5,0,239610
Hardik Pandya,4,27,1,3,6.75,INDIA,1,9,0,5,0,239610
Axar Patel,1,3,0,1,3.00,INDIA,1,9,0,5,0,239610
Ravindra Jadeja,1,7,0,0,7.00,INDIA,1,9,0,5,0,239610
Mark Adair,4,27,0,1,6.75,IRELAND,0,6,0,0,0,239610
Joshua Little,4,42,0,0,10.50,IRELAND,0,6,0,0,0,239610
Barry McCarthy,2.2,18,0,0,7.71,IRELAND,0,6,0,0,0,239610
Curtis Campher,1,4,0,0,4.00,IRELAND,0,6,0,0,0,239610
Ben White,1,6,0,1,6.00,IRELAND,0,6,0,0,0,239610
Alpesh Ramjani,4,17,1,2,4.25,UGANDA,1,0,4,7,0,239611
Cosmas Kyewuta,3.1,17,0,2,5.36,UGANDA,1,0,4,7,0,239611
Juma Miyagi,4,11,0,2,2.75,UGANDA,1,0,4,7,0,239611
Brian Masaba,4,17,0,1,4.25,UGANDA,1,0,4,7,0,239611
Frank Nsubuga,4,4,2,2,1.00,UGANDA,1,0,4,7,0,239611
Alei Nao,4,16,0,2,4.00,PAPUA NEW GUINEA,0,15,0,0,0,239611
Norman Vanua,4,19,0,2,4.75,PAPUA NEW GUINEA,0,15,0,0,0,239611
Chad Soper,4,13,0,1,3.25,PAPUA NEW GUINEA,0,15,0,0,0,239611
Assad Vala,2,10,0,1,5.00,PAPUA NEW GUINEA,0,15,0,0,0,239611
John Kariko,4,18,0,0,4.50,PAPUA NEW GUINEA,0,15,0,0,0,239611
Charles Amini,0.2,2,0,0,6.00,PAPUA NEW GUINEA,0,15,0,0,0,239611
Bilal Khan,4,36,0,1,9.00,OMAN,3,1,0,2,0,239612
Kaleemullah,3,30,0,1,10.00,OMAN,3,1,0,2,0,239612
Shakeel Ahmed,4,28,0,0,7.00,OMAN,3,1,0,2,0,239612
Mehran Khan,4,38,0,2,9.50,OMAN,3,1,0,2,0,239612
Aqib Ilyas,4,18,0,0,4.50,OMAN,3,1,0,2,0,239612
Zeeshan Maqsood,1,12,0,0,12.00,OMAN,3,1,0,2,0,239612
Mitchell Starc,3,20,0,2,6.66,AUSTRALIA,0,8,0,2,0,239612
Josh Hazlewood,4,21,0,0,5.25,AUSTRALIA,0,8,0,2,0,239612
Nathan Ellis,4,28,0,2,7.00,AUSTRALIA,0,8,0,2,0,239612
Marcus Stoinis,3,19,0,3,6.33,AUSTRALIA,0,8,0,2,0,239612
Glenn Maxwell,2,11,0,0,5.50,AUSTRALIA,0,8,0,2,0,239612
Adam Zampa,4,24,0,2,6.00,AUSTRALIA,0,8,0,2,0,239612
Nosthush Kenjige,4,30,0,3,7.50,USA,0,4,0,4,0,239613
Saurabh Netravalkar,4,18,0,2,4.50,USA,0,4,0,4,0,239613
Ali Khan,4,30,0,1,7.50,USA,0,4,0,4,0,239613
Harmeet Singh,4,34,0,0,8.50,USA,0,4,0,4,0,239613
Jessy Singh,3,37,0,1,12.33,USA,0,4,0,4,0,239613
Corey Anderson,1,6,0,0,6.00,USA,0,4,0,4,0,239613
Shaheen Afridi,4,33,0,0,8.25,PAKISTAN,0,11,0,1,0,239613
Mohammad Amir,4,25,0,1,6.25,PAKISTAN,0,11,0,1,0,239613
Naseem Shah,4,26,0,1,6.50,PAKISTAN,0,11,0,1,0,239613
Haris Rauf,4,37,0,1,9.25,PAKISTAN,0,11,0,1,0,239613
Shadab Khan,3,27,0,0,9.00,PAKISTAN,0,11,0,1,0,239613
Iftikhar Ahmed,1,10,0,0,10.00,PAKISTAN,0,11,0,1,0,239613
Mohammad Amir,1,18,0,0,18.00,PAKISTAN,0,7,0,0,0,239613
Saurabh Netravalkar,1,9,0,1,9.00,USA,0,2,0,4,0,239613
Brad Wheal,4,33,0,3,8.25,SCOTLAND,2,3,1,3,0,239614
