matchNumber,matchDate,matchTime,dayNight,group,matchId,matchResult,teamAId,teamBId,teamA,teamB,venue,winningTeamId,tossElectedTo,tossWonBy,series_name,margin,losingTeamId
Match 1,6/1/2024,19:30,True,A,239603,USA beat Canada by 7 wickets,22,12,USA,CAN,"Grand Prairie Cricket Stadium, Dallas",22,field,22,"ICC Men's T20 World Cup, 2024",7 wickets,12
Match 2,6/2/2024,10:30,False,C,239604,West Indies beat Papua New Guinea by 5 wickets,9,750,WI,PNG,"Guyana National Stadium, Guyana",9,field,9,"ICC Men's T20 World Cup, 2024",5 wickets,750
Match 3,6/2/2024,20:30,True,B,239605,Oman tied with Namibia (Namibia win Super Over by 11 runs),20,28,NAM,OMA,"Kensington Oval, Bridgetown, Barbados",20,field,20,"ICC Men's T20 World Cup, 2024",11 runs (Super Over),28
Match 4,6/3/2024,10:30,False,D,239606,South Africa beat Sri Lanka by 6 wickets,8,7,SL,SA,"Nassau County International Cricket Stadium, New York",7,bat,8,"ICC Men's T20 World Cup, 2024",6 wickets,8
Match 5,6/3/2024,20:30,True,C,239607,Afghanistan beat Uganda by 125 runs,1188,29,AFG,UGA,"Guyana National Stadium, Guyana",1188,field,29,"ICC Men's T20 World Cup, 2024",125 runs,29
Match 7,6/4/2024,10:30,False,D,239609,Netherlands beat Nepal by 6 wickets,15,637,NED,NEP,"Grand Prairie Cricket Stadium, Dallas",15,field,15,"ICC Men's T20 World Cup, 2024",6 wickets,637
Match 8,6/5/2024,10:30,False,A,239610,India beat Ireland by 8 wickets,4,13,IND,IRE,"Nassau County International Cricket Stadium, New York",4,field,4,"ICC Men's T20 World Cup, 2024",8 wickets,13
Match 9,6/5/2024,19:30,True,C,239611,Uganda beat Papua New Guinea by 3 wickets,750,29,PNG,UGA,"Guyana National Stadium, Guyana",29,field,29,"ICC Men's T20 World Cup, 2024",3 wickets,750
Match 10,6/5/2024,20:30,True,B,239612,Australia beat Oman by 39 runs,1,28,AUS,OMA,"Kensington Oval, Bridgetown, Barbados",1,field,28,"ICC Men's T20 World Cup, 2024",39 runs,28
Match 11,6/6/2024,10:30,False,A,239613,Pakistan tied with USA (USA win Super Over by 5 runs),22,6,USA,PAK,"Grand Prairie Cricket Stadium, Dallas",22,field,22,"ICC Men's T20 World Cup, 2024",5 runs (Super Over),6
Match 12,6/6/2024,15:00,True,B,239614,Scotland beat Namibia by 5 wickets,20,16,NAM,SCO,"Kensington Oval, Bridgetown, Barbados",16,bat,20,"ICC Men's T20 World Cup, 2024",5 wickets,20
Match 13,6/7/2024,10:30,False,A,239615,Canada beat Ireland by 12 runs,12,13,CAN,IRE,"Nassau County International Cricket Stadium, New York",12,field,13,"ICC Men's T20 World Cup, 2024",12 runs,13
Match 14,6/7/2024,19:30,True,C,239616,Afghanistan beat New Zealand by 84 runs,5,1188,NZ,AFG,"Guyana National Stadium, Guyana",1188,field,5,"ICC Men's T20 World Cup, 2024",84 runs,5
Match 15,6/7/2024,19:30,True,D,239617,Bangladesh beat Sri Lanka by 2 wickets,8,2,SL,BAN,"Grand Prairie Cricket Stadium, Dallas",2,field,2,"ICC Men's T20 World Cup, 2024",2 wickets,8
Match 16,6/8/2024,10:30,False,D,239618,South Africa beat Netherlands by 4 wickets,15,7,NED,SA,"Nassau County International Cricket Stadium, New York",7,field,7,"ICC Men's T20 World Cup, 2024",4 wickets,15
