playerName,playerImage,playerstats,team,flag,teamName
Aaron Johnson,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/96075.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/96075/aaron-johnson,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Navneet Dhaliwal,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/65267.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/65267/navneet-dhaliwal,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Pargat Singh,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/80359.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/80359/pargat-singh,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Nicholas Kirton,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/68433.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/68433/nicholas-kirton,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Shreyas Movva (wk),https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/73924.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/73924/shreyas-movva,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Dilpreet Bajwa,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/98211.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/98211/dilpreet-bajwa,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Dilon Heyliger,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/68432.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/68432/dilon-heyliger,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Saad Bin Zafar (c),https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/40433.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/40433/saad-bin-zafar,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Nikhil Dutta,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/63736.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/63736/nikhil-dutta,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
Kaleem Sana,https://images.icc-cricket.com/icc-web/image/upload/t_player-headshot-square/prd/assets/players/6122/21948.png,https://www.icc-cricket.com/tournaments/t20cricketworldcup/teams/12/players/21948/kaleem-sana,CAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/12.png?v=7,CANADA
